,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
113,113,True,,,,,,,5120.0,10.0,,0,,,retail,2.44358834262e+12,,11.0,Walnut Creek,,,,,,,,,,,0.0,5120.0,,,422061,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.063072673,37.9266472905,2013.0,
153,153,True,,,,,,,2000.0,4.0,,0,,,office,3.35514522825e+12,,5.0,Walnut Creek,,,,,,,,,,,0.0,2000.0,,,725000,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.060045872,37.8993515754,2014.0,
269,269,True,,,,,,,29731.0,10.0,,0,,,retail,5.75130649294e+12,,66.0,Walnut Creek,,,,,,,,,,,0.0,29731.0,,,735336,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.064373148,37.9075523718,2011.0,
275,275,True,,,,,,,8171.0,4.0,,0,,,office,5.88632910023e+12,,23.0,Walnut Creek,,,,,,,,,,,0.0,8171.0,,,706328,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.071042343,37.8785911336,2014.0,
408,408,True,,,,,,,4671.0,10.0,,0,,,retail,8.95165650059e+12,,10.0,Walnut Creek,,,,,,,,,,,0.0,4671.0,,,416581,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.062933356,37.9239919037,2012.0,
539,539,True,,,,,,,259941.0,3.0,,0,,,residential,1.1685969784e+13,,0.0,Walnut Creek,,,,,,,,,,,0.0,0.0,,,737160,,,,wal1,,,,,,2012.0,,,0.0,,0.0,300.0,,4.0,,False,,,,,,,,S,-122.059395325,37.9079971349,2014.0,
547,547,True,,,,,,,17707.0,4.0,,0,,,office,1.18986744037e+13,,49.0,Walnut Creek,,,,,,,,,,,0.0,17707.0,,,721891,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.062675735,37.8948381643,2011.0,
548,548,True,,,,,,,13137.0,4.0,,0,,,office,1.18986744037e+13,,37.0,Walnut Creek,,,,,,,,,,,0.0,13137.0,,,721891,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.062675735,37.8948381643,2011.0,
549,549,True,,,,,,,4501.0,10.0,,0,,,retail,1.18986744037e+13,,10.0,Walnut Creek,,,,,,,,,,,0.0,4501.0,,,721891,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.062675735,37.8948381643,2011.0,
582,582,True,,,,,,,43602.0,10.0,,0,,,retail,1.25833623325e+13,,97.0,Walnut Creek,,,,,,,,,,,0.0,43602.0,,,418333,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.061663962,37.924840969,2013.0,
644,644,True,,,,,,,380000.0,4.0,,0,,,office,1.43382348875e+13,,1070.0,Walnut Creek,,,,,,,,,,,0.0,380000.0,,,396044,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,6.0,,False,,,,,,,,M,-122.040710717,37.9128935685,2012.0,
765,765,True,,,,,,,25472.0,10.0,,0,,,retail,1.66605196052e+13,,57.0,Walnut Creek,,,,,,,,,,,0.0,25472.0,,,422858,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.063925873,37.9268542299,2012.0,
766,766,True,,,,,,,4582.0,10.0,,0,,,retail,1.66605196052e+13,,10.0,Walnut Creek,,,,,,,,,,,0.0,4582.0,,,422858,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.063925873,37.9268542299,2013.0,
782,782,True,,,,,,,86000.0,11.0,,0,,,retail,1.68866918762e+13,,193.0,Walnut Creek,,,,,,,,,,,0.0,86000.0,,,723321,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.059428178,37.8971214397,2012.0,
838,838,True,,,,,,,9290.0,10.0,,0,,,retail,8.33369074185e+11,,20.0,Walnut Creek,,,,,,,,,,,0.0,9290.0,,,725604,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.062748191,37.8997354992,2015.0,
843,843,True,,,,,,,26539.0,10.0,,0,,,retail,8.81286991097e+11,,59.0,Walnut Creek,,,,,,,,,,,0.0,26539.0,,,720160,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.058894799,37.8936582295,2015.0,
1023,1023,True,,,,,,,13894.0,10.0,,0,,,retail,5.91076497884e+12,,31.0,Walnut Creek,,,,,,,,,,,0.0,13894.0,,,723607,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.060357949,37.8975100908,2015.0,
1343,1343,True,,,,,,,162064.0,3.0,,0,,,residential,1.37752847901e+13,,0.0,Walnut Creek,,,,,,,,,,,0.0,0.0,,,732435,,,,wal1,,,,,,2012.0,,,0.0,,0.0,181.0,,6.0,,False,,,,,,,,S,-122.060069916,37.9054645871,2015.0,
1423,1423,True,,,,,,,94500.0,3.0,,0,,,residential,1.60596563638e+13,,0.0,Walnut Creek,,,,,,,,,,,0.0,0.0,,,733595,,,,wal1,,,,,,2012.0,,,0.0,,0.0,102.0,,4.0,,False,,,,,,,,S,-122.063434561,37.9061307066,2015.0,
1429,1429,True,,,,,,,4000.0,4.0,,0,,,office,1.61761813921e+13,,11.0,Walnut Creek,,,,,,,,,,,0.0,4000.0,,,735348,,,,wal1,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.067958501,37.9062405657,2018.0,
1430,1430,True,,,,,,,441620.0,12.0,,0,,,residential,1.61761813921e+13,,31.0,Walnut Creek,,,,,,,,,,,0.0,12020.0,,,735348,,,,wal1,,,,,,2012.0,,,0.0,,0.0,358.0,,4.0,,False,,,,,,,,S,-122.067958501,37.9062405657,2019.0,
1452,1452,True,,,,,,,161510.0,3.0,,0,,,residential,1.6512473219e+13,,0.0,Walnut Creek,,,,,,,,,,,0.0,0.0,,,725960,,,,wal1,,,,,,2012.0,,,0.0,,0.0,174.0,,6.0,,False,,,,,,,,S,-122.063383004,37.9000761049,2016.0,
1691,1691,True,,,,,,,312235.0,12.0,,0,,,residential,9.74856885096e+12,,69.0,Walnut Creek,,,,,,,,,,,0.0,26635.0,,,734441,,,,wal1,,,,,,2012.0,,,0.0,,0.0,238.0,,4.0,,False,,,,,,,,S,-122.066938902,37.9054748837,2020.0,
2639,2639,,1000.0,1000.0,8157873.28277,6132043.55475,1066.5536499,15355586.6428,33864.1481227,3.0,0.0,2,,0.0,residential,9.90062941349e+12,2.0,0.0,Walnut Creek,Walnut Creek,83346.0,6470685.03598,70.0,,,-99314.5591787,2.0,2.29568411387,24.0,0.0,0.0,1960.0,,716452,16932.0740614,surface,0.0,wal1,wal1,1.0,1.0,824385.994096,OBAG,2012.0,1.0,647.781018066,0.0,647.781018066,23704.9036859,24.0,6.83594362623e-08,7.0,1.0,True,0.0,10000.0,22.0,14628558.3187,0.0,8455.0,b3,M,-122.057099344,37.8898500152,2025.0,83346WAL1b3NANA
2913,2913,,1000.0,1000.0,14705861.9989,11293438.3366,810.502052307,30402925.7811,78640.9732559,3.0,0.0,5,,0.0,residential,5.21806597524e+12,5.0,0.0,Walnut Creek,Walnut Creek,83346.0,14439077.2668,80.0,,,-338716.195028,2.5,2.62363898728,55.0,0.0,0.0,1956.0,,739932,31456.3893024,deck,0.2,wal1,wal1,1.0,1.0,1583518.03293,OBAG,2012.0,1.0,690.364534505,0.0,690.364534505,55048.6812791,55.0,3.43112741078e-08,4.0,1.0,True,0.0,10000.0,22.0,29144939.2657,0.0,20491.0,bart3,S,-122.064491792,37.9096599118,2025.0,83346WAL1bart3NANA
2942,2942,,1000.0,1000.0,36095822.2693,32911183.6335,992.715504557,74372939.8432,149837.36932,3.0,75.0,10,,0.0,residential,2.52939990573e+11,10.0,0.0,Walnut Creek,Walnut Creek,83346.0,34409557.3267,70.0,,,-902515.385161,2.0,2.29568411387,30.0,0.0,0.0,1983.0,,729042,74918.6846602,surface,0.0,wal1,wal1,1.0,1.0,4734944.82237,OBAG,2012.0,1.0,709.082503255,0.0,709.082503255,104886.158524,105.0,1.41833148865e-08,7.0,1.0,True,0.0,10000.0,22.0,70505379.596,75.0,48753.9473684,b2,S,-122.057161884,37.9025577682,2025.0,83346WAL1b2NANA
2945,2945,,1000.0,1000.0,4473091.65128,4604447.30875,998.708855794,9555756.6736,23920.27621,3.0,10.0,1,,0.0,residential,1.81119709058e+12,1.0,0.0,Walnut Creek,Walnut Creek,83346.0,4795809.51843,80.0,,,-50201.359941,2.5,2.62363898728,7.0,0.0,0.0,1984.0,,729593,9568.11048402,deck,0.2,wal1,wal1,1.0,1.0,335102.753721,OBAG,2012.0,1.0,713.363468424,0.0,713.363468424,16744.193347,17.0,1.07887653746e-07,4.0,1.0,True,0.0,10000.0,22.0,9268901.16971,10.0,6780.0,bart3,S,-122.068037032,37.9032959453,2025.0,83346WAL1bart3NANA
3059,3059,,1000.0,1000.0,24844254.4016,21357668.9193,739.715888977,49844189.3268,132856.97541,3.0,0.0,9,,0.0,residential,1.13153830044e+13,9.0,0.0,Walnut Creek,Walnut Creek,83346.0,22340433.076,80.0,,,-45619.0062266,2.5,2.62363898728,93.0,0.0,0.0,1985.0,,729338,53142.7901638,deck,0.2,wal1,wal1,1.0,1.0,2703345.11552,OBAG,2012.0,1.0,669.949625651,0.0,669.949625651,92999.8827867,93.0,2.1193316168e-08,4.0,1.0,True,0.0,10000.0,22.0,47184687.4776,0.0,42460.0,bart3,S,-122.069602863,37.902669334,2025.0,83346WAL1bart3NANA
3078,3078,,1000.0,1000.0,2392610.00746,2256661.61691,1065.36758423,4676734.73214,12794.7059222,3.0,0.0,0,,0.0,residential,5.12810611303e+12,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,2349714.02362,87.12,,,-66907.6438464,2.75,2.85714285714,9.0,0.0,0.0,1922.0,,723150,4652.62033535,deck,0.2,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,652.716215007,0.0,652.716215007,8956.29414556,9.0,2.10867075604e-07,4.0,1.0,True,0.0,10000.0,22.0,4742324.03108,0.0,3115.0,b3,M,-122.067149657,37.8968807065,2025.0,83346WAL1b3NANA
3083,3083,,1000.0,1000.0,8202726.89876,5578688.00308,827.428436279,16183051.0418,43864.849726,3.0,0.0,3,,0.0,residential,1.46703945148e+13,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,7173773.44766,87.12,,,-70559.5980952,2.75,2.85714285714,31.0,0.0,0.0,1953.0,,723850,15950.8544458,deck,0.2,wal1,wal1,1.0,1.0,874363.729914,OBAG,2012.0,1.0,658.80324707,0.0,658.80324707,30705.3948082,31.0,6.5034304131e-08,4.0,1.0,True,0.0,10000.0,22.0,15376500.3464,0.0,9915.0,b3,S,-122.061166292,37.8976783733,2025.0,83346WAL1b3NANA
3107,3107,,1000.0,1000.0,5996938.12754,4839268.25867,1066.1529541,11596984.7397,32069.1878478,3.0,0.0,2,,0.0,residential,1.35094336577e+13,2.0,0.0,Walnut Creek,Walnut Creek,83346.0,5072498.71574,87.12,,,-35180.3936211,2.75,2.85714285714,22.0,0.0,0.0,1962.0,,719736,11661.5228537,deck,0.2,wal1,wal1,1.0,1.0,562035.097286,OBAG,2012.0,1.0,645.756962077,0.0,645.756962077,22448.4314935,22.0,9.03388324228e-08,4.0,1.0,True,0.0,10000.0,22.0,11069436.8433,0.0,6675.0,b3,M,-122.061610678,37.8931159332,2025.0,83346WAL1b3NANA
3110,3110,,1000.0,1000.0,2293782.5309,1979825.51006,742.731658936,4315236.75018,9521.72075922,3.0,0.0,0,,0.0,residential,1.2869925934e+11,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,2068226.55325,70.0,,,-47712.4578789,2.0,2.29568411387,7.0,0.0,0.0,1954.0,,719576,4760.86037961,surface,0.0,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,647.42750651,0.0,647.42750651,6665.20453145,7.0,2.29252158973e-07,7.0,1.0,True,0.0,10000.0,22.0,4362009.08415,0.0,3920.0,b3,M,-122.056605903,37.8930133623,2025.0,83346WAL1b3NANA
3123,3123,,1000.0,1000.0,1483388.43259,1427964.54114,739.418258667,2926557.3529,7932.55846305,3.0,0.0,0,,0.0,residential,8.04441048617e+11,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,1481287.07355,87.12,,,-39662.0146871,2.75,2.85714285714,6.0,0.0,0.0,1960.0,,723877,2884.56671384,deck,0.2,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,658.80324707,0.0,658.80324707,5552.79092413,6.0,3.3730504331e-07,4.0,1.0,True,0.0,10000.0,22.0,2964675.50614,0.0,2840.0,b3,S,-122.061971271,37.8978861403,2025.0,83346WAL1b3NANA
3136,3136,,1000.0,1000.0,9011386.41917,7576308.56493,1065.67481995,17499599.2076,48189.2321881,3.0,0.0,3,,0.0,residential,2.02077680757e+12,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,7926775.70811,87.12,,,-293918.86197,2.75,2.85714285714,34.0,0.0,0.0,1996.0,,721069,17523.3571593,deck,0.2,wal1,wal1,1.0,1.0,849564.579523,OBAG,2012.0,1.0,648.470267741,0.0,648.470267741,33732.4625317,34.0,5.90382824586e-08,4.0,1.0,True,0.0,10000.0,22.0,16938162.1273,0.0,10455.0,b3,M,-122.058382187,37.8945266022,2025.0,83346WAL1b3NANA
3142,3142,,1000.0,1000.0,14883804.5475,12624282.306,1065.67481995,29243821.3827,79592.5376874,3.0,0.0,5,,0.0,residential,2.26177568283e+12,5.0,0.0,Walnut Creek,Walnut Creek,83346.0,13203137.1256,87.12,,,-295423.593026,2.75,2.85714285714,56.0,0.0,0.0,1976.0,,720400,28942.7409772,deck,0.2,wal1,wal1,1.0,1.0,1446482.29074,OBAG,2012.0,1.0,656.105598958,0.0,656.105598958,55714.7763812,56.0,3.56037339928e-08,4.0,1.0,True,0.0,10000.0,22.0,28086941.6731,0.0,17421.0,b3,M,-122.062934783,37.8936208686,2025.0,83346WAL1b3NANA
3148,3148,,1000.0,1000.0,4045600.74739,3309343.3701,944.619842122,7931828.01845,16793.6934304,3.0,8.0,1,,0.0,residential,1.66451796189e+13,1.0,0.0,Walnut Creek,Walnut Creek,83346.0,3477280.3044,70.0,,,-31416.3669432,2.0,2.29568411387,4.0,0.0,0.0,1996.0,,726629,8396.84671521,surface,0.0,wal1,wal1,1.0,1.0,439140.437641,OBAG,2012.0,1.0,674.728458659,0.0,674.728458659,11755.5854013,12.0,1.32927796294e-07,7.0,1.0,True,0.0,10000.0,22.0,7522881.05179,8.0,5152.0,b3,S,-122.057296802,37.9008495204,2025.0,83346WAL1b3NANA
3163,3163,,1000.0,1000.0,12164668.5769,9712672.90182,739.418258667,23427665.2581,50496.7562345,3.0,0.0,3,,0.0,residential,5.84558239849e+12,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,10179400.6964,70.0,,,-205989.457131,2.0,2.29568411387,35.0,0.0,0.0,1972.0,,724808,25248.3781173,surface,0.0,wal1,wal1,1.0,1.0,1281567.21136,OBAG,2012.0,1.0,662.777091471,0.0,662.777091471,35347.7293642,35.0,4.47546052499e-08,7.0,1.0,True,0.0,10000.0,22.0,22344069.2733,0.0,19317.0,b3,S,-122.057008773,37.8990377727,2025.0,83346WAL1b3NANA
3168,3168,,1000.0,1000.0,3685486.77698,3309287.40483,1065.36758423,7393079.37263,19708.4854384,3.0,0.0,1,,0.0,residential,8.90966823814e+12,1.0,0.0,Walnut Creek,Walnut Creek,83346.0,3452621.84439,87.12,,,-47165.2110269,2.75,2.85714285714,14.0,0.0,0.0,1964.0,,725966,7166.72197759,deck,0.2,wal1,wal1,1.0,1.0,300300.035622,OBAG,2012.0,1.0,669.860070801,0.0,669.860070801,13795.9398069,14.0,1.40093132935e-07,4.0,1.0,True,0.0,10000.0,22.0,7138108.62136,0.0,4568.0,bart3,S,-122.062188268,37.9002224237,2025.0,83346WAL1bart3NANA
3169,3169,,1000.0,1000.0,3159512.88273,3029290.51686,955.154158529,6263640.24255,13115.4540586,3.0,6.0,0,,0.0,residential,1.61192678025e+13,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,3160445.05744,70.0,,,-58598.6770077,2.0,2.29568411387,3.0,0.0,0.0,1996.0,,725617,6557.72702932,surface,0.0,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,682.252970378,0.0,682.252970378,9180.81784105,9.0,1.5822890112e-07,7.0,1.0,True,0.0,10000.0,22.0,6319957.94017,6.0,4664.0,b3,S,-122.05649204,37.8999282623,2025.0,83346WAL1b3NANA
3215,3215,,1000.0,1000.0,10789992.4963,8985638.68659,740.414329529,21074121.4879,57700.4946325,3.0,0.0,4,,0.0,residential,1.68695841957e+13,4.0,0.0,Walnut Creek,Walnut Creek,83346.0,9374022.98701,87.12,,,-244088.556832,2.75,2.85714285714,40.0,0.0,0.0,1983.0,,724354,20981.9980482,deck,0.2,wal1,wal1,1.0,1.0,1144693.30655,OBAG,2012.0,1.0,652.20168457,0.0,652.20168457,40390.3462427,40.0,4.95932965747e-08,4.0,1.0,True,0.0,10000.0,22.0,20164015.4833,0.0,17847.0,b3,S,-122.07021777,37.8983610924,2025.0,83346WAL1b3NANA
3551,3551,,1000.0,1000.0,3391382.59826,3194433.47892,940.291491699,6618696.97435,14077.9684444,3.0,6.0,0,,0.0,residential,1.41501708145e+13,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,3335213.16336,70.0,,,-112268.903957,2.0,2.29568411387,4.0,0.0,0.0,1979.0,,725197,7038.98422221,surface,0.0,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,671.636779785,0.0,671.636779785,9854.5779111,10.0,1.48663608672e-07,7.0,1.0,True,0.0,12474.3226619,22.0,6726595.76163,6.0,4996.0,b3,S,-122.057216303,37.8999378269,2025.0,83346WAL1b3NANA
3911,3911,,1000.0,1000.0,12313746.4013,10639432.2312,816.225357056,26249252.1771,65848.9112368,3.0,0.0,4,,0.0,residential,1.40800864592e+13,4.0,0.0,Walnut Creek,Walnut Creek,83346.0,13273388.6807,80.0,,,-700682.284603,2.5,2.62363898728,46.0,0.0,0.0,1972.0,,736026,26339.5644947,deck,0.2,wal1,wal1,1.0,1.0,1335525.01228,OBAG,2012.0,1.0,711.836592611,0.0,711.836592611,46094.2378658,46.0,3.9082140177e-08,4.0,1.0,True,0.0,15232.2235783,22.0,25587135.082,0.0,19169.0,bart3,S,-122.062883013,37.9077111113,2025.0,83346WAL1bart3NANA
4140,4140,,1000.0,1000.0,10151921.3069,10280567.2699,1065.13183594,21209423.9166,54288.3492349,3.0,0.0,3,,0.0,residential,6.01475128699e+12,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,10714874.0638,80.0,,,-650266.22468,2.5,2.62363898728,38.0,0.0,0.0,1957.0,,735767,21715.339694,deck,0.2,wal1,wal1,1.0,1.0,967582.870539,OBAG,2012.0,1.0,697.644555664,0.0,697.644555664,38001.8444644,38.0,4.7923027098e-08,4.0,1.0,True,0.0,17112.2690705,22.0,20866795.3707,0.0,14194.0,bart3,S,-122.063960765,37.9075297173,2025.0,83346WAL1bart3NANA
4516,4516,,1000.0,1000.0,8682814.09555,7286089.24942,810.502052307,18181792.3718,46432.1609388,3.0,0.0,3,,0.0,residential,1.65824585092e+13,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,9143375.68697,80.0,,,-640764.957499,2.5,2.62363898728,33.0,0.0,0.0,1986.0,,740974,18572.8643755,deck,0.2,wal1,wal1,1.0,1.0,971425.487726,OBAG,2012.0,1.0,699.245646159,0.0,699.245646159,32502.5126571,33.0,5.60972373906e-08,4.0,1.0,True,0.0,20023.9049218,22.0,17826189.7825,0.0,13220.0,bart3,S,-122.063690479,37.9103782323,2025.0,83346WAL1bart3NANA
4537,4537,,1000.0,1000.0,5359475.8243,4970451.15687,1065.36758423,10751098.1758,28660.2985257,3.0,0.0,2,,0.0,residential,1.55690059048e+12,2.0,0.0,Walnut Creek,Walnut Creek,83346.0,5178889.6916,87.12,,,-403576.817274,2.75,2.85714285714,20.0,0.0,0.0,1976.0,,724935,10421.9267366,deck,0.2,wal1,wal1,1.0,1.0,600600.071245,OBAG,2012.0,1.0,669.860070801,0.0,669.860070801,20062.208968,20.0,9.4891375564e-08,4.0,1.0,True,0.0,20178.8408637,22.0,10538365.5159,0.0,6861.0,b3,S,-122.059991242,37.8991877781,2025.0,83346WAL1b3NANA
4543,4543,,1000.0,1000.0,3769821.739,3747186.86133,957.028293457,7717275.00644,20159.4745401,3.0,8.0,1,,0.0,residential,1.48424128814e+13,1.0,0.0,Walnut Creek,Walnut Creek,83346.0,3908462.65765,80.0,,,-283323.15886,2.5,2.62363898728,6.0,0.0,0.0,1996.0,,726964,8063.78981604,deck,0.2,wal1,wal1,1.0,1.0,311285.289529,OBAG,2012.0,1.0,683.591638184,0.0,683.591638184,14111.6321781,14.0,1.30237426532e-07,4.0,1.0,True,0.0,20237.36849,22.0,7678284.39665,8.0,5758.0,bart3,S,-122.064840477,37.9010857351,2025.0,83346WAL1bart3NANA
4553,4553,,1000.0,1000.0,24519718.6854,21278864.4624,816.225357056,52268761.9274,131121.490296,3.0,0.0,9,,0.0,residential,1.636776921e+13,9.0,0.0,Walnut Creek,Walnut Creek,83346.0,26523724.0742,80.0,,,-1851689.95948,2.5,2.62363898728,92.0,0.0,0.0,1964.0,,736703,52448.5961184,deck,0.2,wal1,wal1,1.0,1.0,3004931.27763,OBAG,2012.0,1.0,711.836592611,0.0,711.836592611,91785.0432072,92.0,1.95911550228e-08,4.0,1.0,True,0.0,20348.241313,22.0,51043442.7596,0.0,38338.0,bart3,S,-122.063390387,37.9081837842,2025.0,83346WAL1bart3NANA
4563,4563,,,1000.0,40274419.633,0.0,150.0,99627860.6926,167183.14501,3.0,0.0,14,,0.0,residential,3.53155165915e+12,14.0,0.0,Walnut Creek,,,417957.862526,80.0,,,54547907.905,2.0,2.16064387187,142.0,0.0,0.0,9999.0,,737890,83591.5725051,surface,0.0,wal1,,,,6510876.70429,,2012.0,,701.082922363,0.0,701.082922363,142105.673259,142.0,1.34049449215,6.0,,False,0.0,,22.0,40692377.4955,0.0,0.0,,S,-122.05963724,37.9090025187,2025.0,
5397,5397,,1000.0,1000.0,7651851.10436,6858651.11976,803.109455109,16639977.5169,40918.9898629,3.0,0.0,2,,0.0,residential,3.51979626796e+12,2.0,0.0,Walnut Creek,Walnut Creek,83346.0,8495410.71428,80.0,,,-193408.976126,2.5,2.62363898728,29.0,0.0,0.0,1991.0,,741206,16367.5959452,deck,0.2,wal1,wal1,1.0,1.0,678596.144507,OBAG,2012.0,1.0,726.172509766,0.0,726.172509766,28643.292904,29.0,6.19300046801e-08,4.0,1.0,True,0.0,10000.0,22.0,16147261.8186,0.0,12559.0,bart3,S,-122.062945591,37.9105321888,2030.0,83346WAL1bart3NANA
5446,5446,,1000.0,1000.0,2428055.67509,2463306.66304,978.7921639,4932673.03506,10079.1020137,3.0,4.0,0,,0.0,residential,1.57317401587e+13,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,2564097.68318,70.0,,,-61889.3952605,2.0,2.29568411387,3.0,0.0,0.0,1996.0,,726027,5039.55100684,surface,0.0,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,699.137259928,0.0,699.137259928,7055.37140957,7.0,2.00314359002e-07,7.0,1.0,True,0.0,10000.0,22.0,4992153.35827,4.0,3701.0,b3,S,-122.056823926,37.9003632312,2030.0,83346WAL1b3NANA
5461,5461,,1000.0,1000.0,8630311.86876,7739344.96803,735.89743042,17373596.0859,46151.4003677,3.0,0.0,3,,0.0,residential,1.49674813387e+13,3.0,0.0,Walnut Creek,Walnut Creek,83346.0,8048096.75841,87.12,,,-197124.861397,2.75,2.85714285714,32.0,0.0,0.0,1964.0,,708707,16782.3274064,deck,0.2,wal1,wal1,1.0,1.0,888428.181604,OBAG,2012.0,1.0,672.228328451,0.0,672.228328451,32305.9802574,32.0,5.99577587019e-08,4.0,1.0,True,0.0,10000.0,22.0,16678408.6272,0.0,15466.0,b3,M,-122.061870121,37.8927769811,2030.0,83346WAL1b3NANA
5768,5768,,1000.0,1000.0,2319674.26016,2629933.94834,1000.14220947,4962575.70013,12404.675188,3.0,4.0,0,,0.0,residential,1.30957645289e+13,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,2729171.34984,80.0,,,-89764.0137646,2.5,2.62363898728,5.0,0.0,0.0,1993.0,,725571,4961.8700752,deck,0.2,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,714.38729248,0.0,714.38729248,8683.2726316,9.0,1.98065078088e-07,4.0,1.0,True,0.0,11220.5017206,22.0,5048845.61,4.0,3867.0,bart3,S,-122.069471405,37.8996525934,2030.0,83346WAL1bart3NANA
5847,5847,,1000.0,1000.0,783574.284399,824004.423853,1085.8164978,1614150.50289,4190.23681497,3.0,0.0,0,,0.0,residential,1.1041558615e+13,0.0,0.0,Walnut Creek,Walnut Creek,83346.0,854478.873416,87.12,,,-24870.7602525,2.75,2.85714285714,3.0,0.0,0.0,1997.0,,724681,1523.72247817,deck,0.2,wal1,wal1,1.0,1.0,0.0,OBAG,2012.0,1.0,687.887520345,0.0,687.887520345,2933.16577048,3.0,6.10480798641e-07,4.0,1.0,True,0.0,12435.3801262,22.0,1638053.15782,0.0,1116.0,b1,S,-122.062616283,37.8989688083,2030.0,83346WAL1b1NANA
5848,5848,,1000.0,1000.0,3249313.56654,3152776.78302,1085.8164978,6693534.01701,17376.0083772,3.0,0.0,1,,0.0,residential,1.35762631824e+13,1.0,0.0,Walnut Creek,Walnut Creek,83346.0,3279147.75304,87.12,,,-149413.364499,2.75,2.85714285714,12.0,0.0,0.0,1946.0,,724586,6318.5485008,deck,0.2,wal1,wal1,1.0,1.0,308670.080717,OBAG,2012.0,1.0,687.887520345,0.0,687.887520345,12163.205864,12.0,1.53175449934e-07,4.0,1.0,True,0.0,12451.1137083,22.0,6528461.31957,0.0,4270.0,b1,S,-122.061698382,37.8988317215,2030.0,83346WAL1b1NANA
5917,5917,,1000.0,1000.0,6408207.98346,5775706.20612,803.109455109,13935508.5866,34268.4918901,3.0,0.0,2,,0.0,residential,1.62922178531e+13,2.0,0.0,Walnut Creek,Walnut Creek,83346.0,7146445.88172,80.0,,,-309800.546226,2.5,2.62363898728,24.0,0.0,0.0,1974.0,,740513,13707.3967561,deck,0.2,wal1,wal1,1.0,1.0,678596.144507,OBAG,2012.0,1.0,726.172509766,0.0,726.172509766,23987.9443231,24.0,7.37753992058e-08,4.0,1.0,True,0.0,13469.5889663,22.0,13554653.8652,0.0,10576.0,bart3,S,-122.061939437,37.9101501969,2030.0,83346WAL1bart3NANA
